11:30:51.539 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:32:01.812 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:32:12.449 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:33:05.516 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:33:24.497 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:34:21.442 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:34:54.156 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:34:58.732 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:35:33.505 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:35:41.538 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:36:29.259 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:37:12.591 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:38:37.082 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:39:40.731 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:41:18.847 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:41:33.450 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:45:19.382 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:45:42.357 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:46:01.319 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
11:48:11.176 [INFO] (formula_mdp.py:199) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n i=exit & n j=exit)']
