17:51:28.983 [INFO] (formula_mdp.py:219) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:51:42.599 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:51:51.609 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:51:55.909 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:06.641 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:08.723 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:11.224 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:16.690 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:34.450 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:42.895 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:43.882 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:45.388 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:46.319 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:47.260 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:48.747 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:49.678 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:50.615 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:52.318 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:53.275 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:54.227 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:55.205 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:56.140 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:57.057 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:57.986 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:58.918 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:52:59.838 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:00.779 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:01.723 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:02.710 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:04.412 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:05.345 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:06.285 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:07.230 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:08.190 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:09.146 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:10.248 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:11.327 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:12.420 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:14.289 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:15.385 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:16.506 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:17.610 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:18.708 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:19.796 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:21.614 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:22.716 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:23.980 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:25.079 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:26.173 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:27.445 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:28.550 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
17:53:29.649 [INFO] (formula_mdp.py:230) found invs:['~(n i=crit & n j=crit)', '~(x=True & n j=crit)', '~(n j=crit & n i=exit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
