22:13:30.640 [INFO] (formula_mdp.py:223) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n i=exit & n j=crit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
22:13:56.084 [INFO] (formula_mdp.py:234) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n i=exit & n j=crit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
22:14:02.889 [INFO] (formula_mdp.py:234) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n i=exit & n j=crit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
22:15:12.320 [INFO] (formula_mdp.py:234) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n i=exit & n j=crit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
22:15:22.891 [INFO] (formula_mdp.py:234) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n i=exit & n j=crit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
22:15:48.885 [INFO] (formula_mdp.py:234) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n i=exit & n j=crit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
22:16:38.511 [INFO] (formula_mdp.py:234) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n i=exit & n j=crit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
22:16:46.775 [INFO] (formula_mdp.py:234) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n i=exit & n j=crit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
22:18:16.314 [INFO] (formula_mdp.py:234) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n i=exit & n j=crit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
22:18:27.602 [INFO] (formula_mdp.py:234) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n i=exit & n j=crit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
22:19:15.872 [INFO] (formula_mdp.py:234) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n i=exit & n j=crit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
22:19:45.212 [INFO] (formula_mdp.py:234) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n i=exit & n j=crit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
22:20:19.058 [INFO] (formula_mdp.py:234) found invs:['~(n i=crit & n j=crit)', '~(n j=crit & x=True)', '~(n i=exit & n j=crit)', '~(n i=exit & x=True)', '~(n j=exit & n i=exit)']
